End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,outputAmp,totalKva,totalKvar,totalKw
2025-11-17 00:52:59,PQM,2025-11-17 00:52:00,1331.36,8.94,127.88,282.91,1406.92,392.51,2.29,391.19,99.66,9.01,280.06,1268.33,337.62,52.26,331.66,98.24,9.87,268.33,1318.83,396.73,73.32,388.44,97.91,7.95,300.34,1111.30,98.60,,1126.86
2025-11-17 00:53:59,PQM,2025-11-17 00:53:00,1341.04,8.82,135.51,282.78,1419.51,396.95,5.01,395.69,99.68,8.97,279.91,1272.39,343.41,55.21,336.98,98.13,9.79,268.23,1331.24,402.10,75.29,393.79,97.93,7.71,300.22,1126.45,98.58,,1142.46
2025-11-17 00:54:59,PQM,2025-11-17 00:54:00,1333.39,8.78,131.89,282.88,1409.96,396.90,3.34,395.19,99.57,8.88,280.00,1266.93,342.09,53.89,335.81,98.16,9.73,268.32,1323.29,401.98,74.65,393.40,97.87,7.72,300.33,1124.40,98.53,,1140.98
2025-11-17 00:55:59,PQM,2025-11-17 00:55:00,1345.80,8.77,134.69,282.87,1426.22,398.13,4.59,396.83,99.67,8.89,279.94,1278.49,343.59,54.25,337.36,98.19,9.77,268.36,1332.67,402.67,75.84,394.12,97.88,7.65,300.29,1128.31,98.58,,1144.38
2025-11-17 00:56:59,PQM,2025-11-17 00:56:00,1348.54,8.85,138.10,282.87,1426.63,397.37,5.29,395.94,99.64,8.97,279.94,1279.31,343.81,56.27,337.21,98.08,9.95,268.33,1339.67,404.33,76.55,395.89,97.92,7.63,300.34,1129.04,98.55,,1145.51
2025-11-17 00:57:59,PQM,2025-11-17 00:57:00,1335.74,8.80,132.27,282.86,1409.18,395.21,4.14,393.70,99.62,8.93,279.93,1271.93,341.97,53.56,335.56,98.13,9.79,268.37,1326.11,400.30,74.57,392.02,97.93,7.67,300.30,1121.28,98.56,,1137.48
2025-11-17 00:58:59,PQM,2025-11-17 00:58:00,1337.02,8.92,129.96,282.93,1412.07,392.46,3.47,391.30,99.70,9.06,280.00,1270.19,339.56,52.95,333.89,98.33,9.86,268.44,1328.79,397.59,73.53,389.49,97.97,7.84,300.36,1114.68,98.67,,1129.60
2025-11-17 00:59:59,PQM,2025-11-17 00:59:00,1343.81,8.84,140.40,282.83,1403.32,396.80,6.79,394.86,99.51,9.03,279.78,1280.99,346.74,57.69,340.27,98.13,9.83,268.41,1347.11,405.78,75.92,397.13,97.87,7.65,300.29,1132.26,98.50,,1149.32
2025-11-17 01:00:59,PQM,2025-11-17 01:00:00,1322.54,9.04,134.63,283.09,1389.42,394.68,3.32,391.73,99.25,9.20,279.99,1249.15,344.80,56.99,335.96,97.44,10.07,268.63,1329.04,407.64,74.32,397.14,97.42,7.86,300.64,1124.83,98.04,,1147.12
2025-11-17 01:01:59,PQM,2025-11-17 01:01:00,1379.90,8.76,148.05,282.93,1428.15,401.60,7.67,399.64,99.51,9.01,279.80,1324.89,353.12,62.37,345.57,97.86,9.84,268.46,1386.65,416.71,78.01,407.20,97.72,7.42,300.54,1152.41,98.36,,1171.42
2025-11-17 01:02:59,PQM,2025-11-17 01:02:00,1344.22,8.79,139.10,282.95,1407.47,399.37,3.94,397.55,99.55,8.98,279.87,1281.55,346.17,57.69,339.43,98.05,9.83,268.49,1343.65,410.39,77.46,401.45,97.82,7.56,300.49,1138.43,98.47,,1155.93
2025-11-17 01:03:59,PQM,2025-11-17 01:03:00,1355.07,8.71,137.57,282.46,1415.59,397.87,4.68,395.99,99.53,8.84,279.41,1292.52,346.91,57.19,339.98,98.00,9.62,268.02,1357.11,408.60,75.71,399.90,97.87,7.66,299.96,1135.86,98.47,,1153.38
2025-11-17 01:04:59,PQM,2025-11-17 01:04:00,1307.85,8.82,128.20,281.75,1379.02,388.80,4.58,387.29,99.61,8.93,278.66,1252.27,337.47,51.02,331.89,98.35,9.68,267.43,1292.26,393.40,72.60,385.03,97.87,7.86,299.15,1104.20,98.61,,1119.67
2025-11-17 01:05:59,PQM,2025-11-17 01:05:00,1327.53,8.84,141.47,281.76,1396.87,393.91,9.06,392.86,99.74,9.00,278.73,1272.24,343.49,56.42,337.20,98.17,9.73,267.31,1313.47,400.01,76.00,391.21,97.80,7.79,299.25,1121.28,98.57,,1137.40
2025-11-17 01:06:59,PQM,2025-11-17 01:06:00,1296.64,8.99,119.43,281.89,1368.32,385.59,1.39,383.78,99.53,9.10,278.94,1238.05,333.17,48.13,327.30,98.24,9.86,267.48,1283.55,388.94,69.92,381.17,98.00,8.02,299.26,1092.24,98.59,,1107.69
2025-11-17 01:07:59,PQM,2025-11-17 01:07:00,1339.49,9.03,139.22,281.84,1407.02,396.07,6.61,394.54,99.62,9.27,278.86,1279.17,345.64,56.95,338.66,97.98,10.09,267.41,1332.30,404.44,75.66,395.47,97.78,7.73,299.25,1128.68,98.46,,1146.15
2025-11-17 01:08:59,PQM,2025-11-17 01:08:00,1358.98,8.69,142.81,281.72,1424.49,398.90,7.30,397.41,99.63,8.88,278.72,1299.34,347.21,58.05,340.42,98.05,9.74,267.25,1353.13,407.53,77.46,398.45,97.77,7.46,299.20,1136.28,98.48,,1153.64
2025-11-17 01:09:59,PQM,2025-11-17 01:09:00,1343.61,8.80,134.80,281.87,1414.14,392.86,5.49,391.47,99.65,8.93,278.82,1279.98,342.15,55.06,335.96,98.19,9.76,267.44,1336.71,400.91,74.25,392.73,97.96,7.71,299.34,1120.17,98.60,,1135.92
2025-11-17 01:10:59,PQM,2025-11-17 01:10:00,1351.75,8.69,145.38,281.69,1419.53,398.66,8.07,397.43,99.69,8.85,278.65,1289.17,347.03,59.10,340.04,97.99,9.78,267.23,1346.55,407.87,78.21,398.91,97.80,7.45,299.19,1136.38,98.49,,1153.57
2025-11-17 01:11:59,PQM,2025-11-17 01:11:00,1331.44,8.89,131.08,281.77,1400.31,391.48,4.01,390.31,99.70,8.97,278.80,1271.04,338.86,53.38,333.26,98.35,9.83,267.32,1322.96,397.96,73.69,389.64,97.91,7.86,299.21,1113.20,98.65,,1128.30
2025-11-17 01:12:59,PQM,2025-11-17 01:12:00,1321.51,8.93,130.92,281.87,1386.74,390.38,4.42,388.71,99.57,9.04,278.83,1261.46,339.02,53.52,333.08,98.25,9.91,267.41,1316.31,397.18,72.98,388.87,97.91,7.84,299.37,1110.66,98.58,,1126.58
2025-11-17 01:13:59,PQM,2025-11-17 01:13:00,1338.72,8.90,138.06,281.81,1408.44,393.26,6.69,392.00,99.68,9.03,278.74,1272.91,342.78,56.23,336.37,98.13,9.98,267.32,1334.83,401.72,75.14,393.28,97.90,7.69,299.36,1121.65,98.57,,1137.77
2025-11-17 01:14:59,PQM,2025-11-17 01:14:00,1343.78,8.85,133.08,281.86,1409.39,392.03,5.19,390.91,99.72,8.95,278.81,1285.57,341.01,54.27,335.32,98.33,9.83,267.41,1336.37,399.52,73.62,391.24,97.93,7.77,299.36,1117.47,98.66,,1132.56
2025-11-17 01:15:59,PQM,2025-11-17 01:15:00,1326.81,8.79,131.30,281.83,1396.46,392.94,3.37,391.82,99.71,8.86,278.80,1262.01,339.54,53.31,333.51,98.22,9.79,267.38,1321.96,400.20,74.62,391.60,97.85,7.72,299.31,1116.93,98.60,,1132.68
2025-11-17 01:16:59,PQM,2025-11-17 01:16:00,1365.22,8.77,131.25,281.75,1441.21,398.10,1.12,396.65,99.64,8.83,278.73,1286.05,340.66,53.19,334.48,98.19,9.77,267.23,1368.39,406.01,76.94,397.47,97.90,7.71,299.30,1128.61,98.57,,1144.76
2025-11-17 01:17:59,PQM,2025-11-17 01:17:00,1350.50,8.76,130.03,281.82,1417.49,397.08,0.99,395.56,99.62,8.85,278.81,1272.08,341.42,53.70,335.70,98.32,9.80,267.29,1361.93,406.32,75.34,398.02,97.96,7.62,299.36,1129.28,98.63,,1144.82
2025-11-17 01:18:59,PQM,2025-11-17 01:18:00,1330.13,8.85,126.17,281.83,1408.25,393.97,-1.48,392.16,99.54,8.86,278.76,1247.15,335.31,52.27,328.71,98.03,9.91,267.26,1335.01,403.77,75.37,394.77,97.77,7.77,299.48,1115.64,98.45,,1133.04
